latitude,longitude,depth,mag,gap,rms,nst,cluster
19.174165725708,-155.52299499512,29.010000228882,1.74,155.0,0.150000006,22.0,0
37.603832244873,-122.46966552734,8.8400001525879,1.8,116.0,0.02,14.0,1
33.532,-116.727,6.19,0.17,58.0,0.09,18.0,1
60.973,-151.414,70.1,1.3,55.0,0.6,30.0,2
62.222,-148.241,5.0,1.6,73.0,0.9,17.0,2
39.341,-119.0132,5.4344,1.51,55.0,0.1851,20.0,1
38.814498901367,-122.83000183106,1.5199999809265,0.76,62.0,0.01,10.0,1
33.6605,-116.7765,13.93,0.76,39.0,0.14,41.0,1
32.667166666667,-115.66216666667,10.56,1.72,45.0,0.27,45.0,1
-15.637,-115.3181,10.0,4.8,153.0,0.51,41.0,-1
19.276332855225,-155.11766052246,36.529998779297,1.73,220.0,0.200000003,17.0,0
39.3473,-118.9925,7.999,2.08,59.0,0.2602,24.0,1
31.756,-104.212,4.1012,1.7,98.0,0.3,36.0,1
56.664,-156.655,5.0,1.7,268.0,0.5,6.0,2
33.8845,-116.92183333333,12.29,0.54,116.0,0.15,25.0,1
38.814834594727,-122.8201675415,2.4400000572205,1.07,69.0,0.03,14.0,1
62.91,-150.753,103.8,1.5,69.0,0.5,28.0,2
48.8493,155.9731,42.936,4.8,133.0,0.84,49.0,-1
61.422,-150.068,29.8,1.9,73.0,0.7,38.0,2
55.892,-160.043,5.0,2.1,326.0,0.6,12.0,-1
33.802,-117.69766666667,2.88,0.92,50.0,0.2,32.0,1
-24.4028,179.8036,535.344,4.5,82.0,0.71,31.0,-1
31.76,-104.207,4.8128,1.9,100.0,0.5,40.0,1
33.724666666667,-116.788,15.4,0.47,91.0,0.14,19.0,1
59.746,-153.288,133.7,1.7,100.0,0.7,33.0,2
36.005833333333,-117.32833333333,3.74,1.07,66.0,0.15,20.0,1
38.82149887085,-122.81216430664,2.9900000095367,1.07,87.0,0.02,15.0,1
38.813999176025,-122.83000183106,1.6799999475479,1.39,89.0,0.03,22.0,1
30.988,-103.607,0.0,1.5,257.0,0.6,9.0,-1
31.41,-103.738,7.0076,1.6,71.0,1.0,15.0,-1
58.199,-156.097,158.1,2.5,44.0,1.2,143.0,-1
-19.7375,-177.7851,552.882,4.6,98.0,0.89,36.0,-1
31.673,-104.351,4.2366,1.5,71.0,0.3,21.0,1
38.835666656494,-122.80683135986,2.3499999046326,0.98,160.0,0.02,12.0,1
35.757,-117.58566666667,7.16,1.37,50.0,0.14,39.0,1
5.4532,124.7921,57.448,4.8,80.0,0.88,45.0,-1
33.996166666667,-117.21866666667,3.43,1.54,24.0,0.18,81.0,1
31.562,-104.193,4.2269,1.7,72.0,0.3,27.0,1
38.829166412354,-122.81800079346,1.789999961853,1.23,121.0,0.01,16.0,1
40.022,19.8391,10.0,4.0,108.0,1.15,30.0,-1
38.794498443604,-122.75333404541,1.2300000190735,1.07,103.0,0.01,12.0,1
19.293832778931,-155.11450195312,36.970001220703,1.88,216.0,0.119999997,30.0,0
57.483,-156.418,15.4,1.1,294.0,0.3,7.0,2
-27.8807,-71.5587,10.269,4.2,161.0,0.99,34.0,-1
38.821334838867,-122.84300231934,1.9299999475479,0.74,127.0,0.02,8.0,1
-19.2535,-69.3456,103.081,4.1,96.0,0.72,17.0,-1
58.369,-154.694,5.0,0.7,218.0,0.2,6.0,2
35.431,-82.8834,9.824,1.6,82.0,0.71,14.0,-1
19.332834243774,-155.98233032227,32.54999923706,1.76,289.0,0.230000004,8.0,0
37.75666809082,-121.94132995606,5.0900001525879,1.4,84.0,0.08,9.0,1
58.281,-154.949,5.0,0.5,148.0,0.2,10.0,2
33.432666666667,-116.38133333333,9.44,0.77,90.0,0.18,29.0,1
58.911,-154.008,120.2,2.5,64.0,0.5,87.0,-1
39.3268,-119.054,10.2465,1.63,61.0,0.1302,22.0,1
65.439,-148.604,5.0,2.0,67.0,0.6,15.0,2
60.056,-147.897,21.8,1.4,171.0,0.6,8.0,2
-5.8872,145.4675,92.861,4.5,123.0,0.78,45.0,-1
59.95,-152.609,94.7,2.6,54.0,0.7,115.0,-1
33.993,-117.1535,9.69,0.79,70.0,0.16,29.0,1
-41.395,173.7743,68.69,4.2,67.0,0.86,31.0,-1
-15.0083,167.4027,157.029,4.5,233.0,0.96,22.0,-1
61.285,-151.403,76.6,1.8,58.0,0.8,44.0,2
39.134334564209,-123.04733276367,5.2199997901917,1.13,202.0,0.05,6.0,1
38.841667175293,-122.85150146484,1.1100000143051,1.02,149.0,0.03,10.0,1
38.842666625977,-122.85182952881,1.0099999904633,0.84,151.0,0.03,8.0,1
58.168,-155.381,5.0,0.5,61.0,0.2,11.0,2
-20.1838,-177.6376,513.89,4.2,142.0,1.11,32.0,-1
19.181166666667,-68.257333333333,25.92,3.31,281.0,0.14,14.0,3
42.3172,-126.0921,10.0,2.7,261.0,0.97,39.0,-1
37.462001800537,-118.83799743652,3.7699999809265,1.15,146.0,0.01,8.0,1
29.9909,138.4351,475.181,4.6,49.0,0.79,78.0,-1
38.803001403809,-122.76899719238,3.7999999523163,1.08,105.0,0.02,12.0,1
31.679,-104.351,4.9163,1.7,85.0,0.4,30.0,1
59.313,-152.458,74.5,1.7,107.0,0.3,22.0,2
52.321,-174.2405,2.35,0.01,254.0,0.18,5.0,2
52.318166666667,-174.19016666667,4.04,1.14,116.0,0.13,8.0,2
35.298166666667,-117.81066666667,8.1,1.18,59.0,0.16,36.0,1
36.096166666667,-117.89633333333,5.25,1.36,77.0,0.15,26.0,1
19.1566,-65.2976,8.0,4.02,219.0,0.38,29.0,-1
53.380166666667,-168.22566666667,7.12,0.11,276.0,0.21,4.0,2
38.462665557861,-122.76833343506,18.549999237061,1.49,179.0,0.1,5.0,1
58.169,-155.353,5.0,1.1,58.0,0.3,16.0,2
31.557,-104.202,3.4046,1.8,73.0,0.2,27.0,1
52.691666666667,-169.7655,9.77,1.31,254.0,0.14,5.0,2
38.75566482544,-122.75033569336,1.460000038147,1.21,122.0,0.02,8.0,1
58.211,-155.941,155.7,1.4,143.0,0.5,38.0,-1
39.213832855225,-123.2748336792,2.2200000286102,2.14,43.0,0.12,21.0,1
35.4,-98.20466667,6.56,1.5,121.0,0.25,53.0,1
-18.9647,169.0532,168.418,5.0,86.0,0.97,46.0,-1
31.671,-104.339,3.8289,1.6,86.0,0.3,25.0,1
35.351833333333,-118.50083333333,4.87,1.32,64.0,0.13,31.0,1
59.531,-152.765,105.6,1.7,78.0,0.6,56.0,2
60.042,-152.881,124.6,2.1,96.0,0.7,65.0,-1
31.672,-104.346,4.9201,1.6,71.0,0.5,21.0,1
39.3148,-119.0491,8.242,1.54,56.0,0.1789,15.0,1
38.140833333333,-112.64883333333,3.62,1.38,67.0,0.18,13.0,1
32.667,-115.66216666667,11.2,1.74,60.0,0.28,31.0,1
52.780166666667,-169.92383333333,9.66,1.03,264.0,0.08,4.0,2
38.813999176025,-122.82516479492,3.579999923706,1.04,150.0,0.01,5.0,1
38.854667663574,-122.84549713135,2.039999961853,1.15,233.0,0.01,6.0,1
18.8595,-64.667333333333,59.47,3.05,253.0,0.05,7.0,-1
52.915,-169.65,2.54,0.8,195.0,0.13,5.0,2
31.612,-104.087,3.6127,1.6,63.0,0.3,26.0,1
60.328,-143.556,1.5,1.8,91.0,0.9,25.0,2
52.827833333333,-169.88633333333,10.29,0.18,168.0,0.07,4.0,2
52.698166666667,-169.7495,9.13,1.04,302.0,0.16,4.0,2
44.782166666667,-110.90133333333,6.46,1.79,108.0,0.16,23.0,1
58.253,-155.121,5.0,0.5,113.0,0.6,10.0,2
60.3976,-139.4756,5.0,2.6,123.0,1.33,15.0,-1
37.939333333333,-122.019,8.97,0.76,155.0,0.06,13.0,1
34.2386,25.1235,30.561,4.5,81.0,0.72,70.0,-1
31.644,-104.526,4.5389,1.7,84.0,1.4,29.0,-1
62.214,-148.193,1.1,1.4,108.0,0.8,19.0,2
38.813331604004,-122.81800079346,2.6600000858307,1.19,52.0,0.03,28.0,1
35.299833333333,-117.80783333333,7.45,1.66,35.0,0.18,49.0,1
34.524333333333,-118.087,8.72,1.08,63.0,0.11,20.0,1
34.993166666667,-118.19,0.46,1.11,53.0,0.23,25.0,1
38.794998168945,-122.750831604,2.0299999713898,0.67,187.0,0.02,9.0,1
31.646,-104.258,6.2225,1.9,67.0,0.5,37.0,1
38.793998718262,-122.75299835205,1.6299999952316,1.04,88.0,0.02,15.0,1
52.063333333333,-176.18283333333,1.17,0.56,207.0,0.3,5.0,2
35.3165,-117.81216666667,8.06,1.03,85.0,0.16,29.0,1
55.729,-159.398,7.7,1.4,221.0,0.7,12.0,-1
36.533164978027,-121.16249847412,3.4400000572205,2.38,64.0,0.16,47.0,1
-27.8085,-71.502,18.8,4.4,170.0,0.54,29.0,-1
31.83,-104.204,0.0,2.1,194.0,0.5,4.0,-1
36.533668518066,-121.16066741943,3.5899999141693,2.11,67.0,0.12,35.0,1
39.2788,-119.1106,6.8644,1.63,61.0,0.1549,14.0,1
52.812833333333,-169.88683333333,4.27,0.42,129.0,0.16,5.0,2
61.201,-146.168,27.9,1.7,63.0,0.6,18.0,2
36.539333343506,-121.14883422852,5.1999998092651,1.8,56.0,0.19,17.0,1
33.139333333333,-116.64416666667,4.94,1.51,23.0,0.19,59.0,1
52.932833333333,-169.66633333333,1.82,0.37,205.0,0.08,4.0,2
35.317,-117.813,7.48,1.68,35.0,0.2,47.0,1
32.456,-101.23,5.3955,1.0,81.0,0.1,9.0,1
33.989666666667,-117.12033333333,8.36,2.12,15.0,0.18,92.0,1
33.890333333333,-116.17416666667,5.56,1.17,47.0,0.12,31.0,1
57.805,-156.644,114.6,2.0,160.0,0.9,52.0,-1
45.834666666667,-120.8195,9.01,1.16,109.0,0.2,10.0,1
53.452,-166.384,89.288,3.8,160.0,0.69,45.0,-1
35.113,-119.11516666667,12.63,1.71,57.0,0.2,39.0,1
33.526833333333,-116.72866666667,6.54,1.01,29.0,0.16,44.0,1
47.270666666667,-122.1105,22.55,0.85,207.0,0.09,19.0,1
38.811832427979,-122.78416442871,1.1699999570847,0.97,70.0,0.02,11.0,1
35.6775,-117.49233333333,3.19,1.01,42.0,0.12,27.0,1
4.7716,125.3387,10.0,4.6,102.0,1.2,43.0,-1
39.3422,-119.0125,7.0494,1.62,46.0,0.1453,20.0,1
18.1085,-66.031833333333,20.54,2.08,100.0,0.23,10.0,3
52.815666666667,-169.865,3.18,0.42,160.0,0.18,5.0,2
25.0151,93.0576,36.41,4.4,123.0,1.04,50.0,-1
38.816333770752,-122.75216674805,2.0299999713898,0.53,180.0,0.02,8.0,1
52.840833333333,-169.9245,8.31,0.59,214.0,0.13,4.0,2
52.83,-169.88316666667,2.85,0.39,171.0,0.18,5.0,2
52.828,-169.88983333333,2.32,0.32,165.0,0.33,5.0,2
52.826833333333,-169.92533333333,3.53,0.04,131.0,0.29,5.0,2
60.213,-143.305,0.1,3.4,128.0,1.3,76.0,-1
17.961,-66.706166666667,11.24,2.16,159.0,0.08,11.0,3
60.295,-143.362,0.9,1.6,56.0,0.8,18.0,2
52.851666666667,-169.85233333333,2.91,1.1,202.0,0.23,5.0,2
38.821666717529,-122.79433441162,2.8399999141693,1.26,60.0,0.02,26.0,1
60.097,-151.203,63.1,2.4,90.0,0.6,46.0,2
31.667,-102.014,1.3428,1.3,102.0,0.1,19.0,1
48.953833333333,-122.86633333333,19.71,2.16,141.0,0.1,27.0,1
35.314666666667,-117.81433333333,8.89,2.08,35.0,0.14,52.0,1
52.806,-169.96666666667,3.89,0.39,278.0,0.18,4.0,2
52.815166666667,-169.89683333333,9.73,0.01,117.0,0.29,5.0,2
63.526,-148.996,0.1,2.1,45.0,0.8,33.0,2
52.823833333333,-169.88683333333,3.09,1.46,125.0,0.16,6.0,2
52.825666666667,-169.88383333333,3.08,1.46,130.0,0.12,6.0,2
38.6945,141.9444,78.789,4.4,154.0,0.72,37.0,-1
60.501,-152.118,90.6,1.2,45.0,0.7,31.0,2
35.309166666667,-117.81266666667,8.61,1.46,35.0,0.16,44.0,1
52.838833333333,-169.84633333333,2.35,0.29,191.0,0.16,5.0,2
34.901666666667,-119.60983333333,9.31,1.19,83.0,0.13,17.0,1
59.411,-152.895,80.4,1.8,80.0,0.6,78.0,-1
47.593666666667,-121.79516666667,4.11,0.0,182.0,0.01,3.0,1
63.359,-148.387,84.6,1.5,57.0,0.8,19.0,2
52.813333333333,-169.8695,3.86,0.19,153.0,0.31,5.0,2
35.309833333333,-117.81766666667,8.47,3.18,34.0,0.18,58.0,1
19.442333221436,-155.24082946777,0.28999999165535,2.62,87.0,0.300000012,28.0,-1
